"SiteName","-30","-29","-28","-27","-26","-25","-24","-23","-22","-21","-20","-19","-18","-17","-16","-15","-14","-13","-12","-11","-10","-9","-8","-7","-6","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59"
"Site_38",0,0,0,0,1.14,0.04,0,0,0.47,0,0,0.86,0,0,0,0,0,0.32,0.09,0,0,0.13,0.55,0.01,0.75,0,0,0,0,0,0,0,0,0,1.18,0,0,0.02,0.17,0,0,0,2.51,0.49,0,0,0.08,0.34,0,0,0,0,0.3,1.3,0,0,0,0.08,0,0.01,0.09,0.06,0.18,0.11,0.04,1.31,0,0,0.68,0,0.29,0.18,0.22,0,0,0,0,0,0.3,0.02,0.14,0.12,0,0,0.05,0,0.2,0,0,0
"Site_39",0.16,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,0,0,0.12,1.34,0,0,0,0,0,0.18,0.4,0,0,0.63,0,0.17,0.06,0,0,0,0.13,0.26,0.55,0,0,0,0,0,0,0,0,0,0.84,0.35,0,0,0.19,1.39,0,0,0.04,0,0.8,0.01,0,0,0,0.08,0,0,0.33,0.17,0.03,0,0,0,1.14,0.06,0,0.35,0,0,0.11,0,0.25,0.01,0,0.01,0.95,0.01,0,0.02,0
"Site_40",0.01,0,0,0,1.49,0.02,0,0,0.68,0,0,0.92,0,0,0,0,0,0.29,0.15,0,0,0.21,0.98,0.01,0.62,0,0,0,0,0,0,0,0,0,0.95,0,0,0.14,0.27,0,0,0,2.52,0.4,0,0,0.08,0.32,0,0,0,0,0.24,1.65,0,0,0,0.04,0,0.03,0.16,0.11,0.25,0.13,0.05,1.37,0,0,0.86,0,0.25,0.63,0.15,0,0,0,0,0,0.36,0.03,0.19,0.16,0,0,0.15,0,0.18,0,0,0.01
"Site_41",0.05,0.95,0.12,0,0,0,0,0,0,0,0.02,0,0,0.02,0,0.19,0.52,0,0,0.01,2.63,0,0,0,0,0,0.12,0.73,0,0,0.56,0.13,0,0.2,0,0.35,0.03,0.02,0.45,0.5,0.03,0,0,0,0,0,0.01,0,0.05,0.28,1.2,0.02,0,0.17,1.83,0,0,0.01,0,0.1,0.25,0,0,0.02,0.03,0,0,0.1,0.41,0.08,0,0,0,0.78,0.27,0,0.87,0,0,0,0,0.31,0.03,0,0,1.22,0,0,0,0
"Site_42",0,0,0,0,1.53,0,0,0,0.71,0,0,1,0,0,0,0,0,0.44,0.16,0,0,0.32,0.87,0,0.73,0,0,0,0.01,0,0,0,0,0,0.88,0,0,0.06,0.07,0,0,0,2.33,0.11,0,0,0.17,0.36,0,0.03,0,0,0.41,1.48,0,0,0,0,0,0,0.16,0.1,0.26,0.07,0.04,1.36,0,0,0.94,0,0.26,0.43,0.42,0,0,0,0,0,0.39,0,0.07,0.11,0,0,0.22,0,0.48,0,0,0.02
"Site_43",0.04,0.78,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.42,0.32,0,0,0.03,2.73,0.02,0,0,0,0,0.11,0.93,0,0,0.81,0.03,0.08,0.33,0,0.22,0,0.16,0.39,0.4,0,0,0,0,0,0,0,0,0.23,0.54,0.9,0,0,0.25,2.27,0,0,0,0,0.83,0.22,0,0,0,0.23,0,0,0.16,0.23,0.01,0,0,0,1.37,0.29,0,0.65,0,0,0.03,0,0.44,0,0,0,1.69,0,0,0,0
"Site_44",0,0,0,0,1.11,0,0,0,0.26,0,0.06,0.77,0,0,0,0,0,0.11,0.03,0,0,0.47,0.59,0.13,0.44,0,0,0,0.03,0,0,0,0,0,0.61,0,0,0,0,0.02,0,0,2.02,0.2,0,0,0.16,0.13,0,0,0,0,0.3,1.1,0,0,0,0,0,0,0,0.01,0.16,0,0,0.6,0,0.01,1,0,0.13,0,0.44,0,0,0,0,0,0.37,0,0.01,0,0,0,0.24,0,0.49,0,0,0
"Site_45",0.18,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.02,0,0,0.13,1.43,0,0,0,0,0,0.16,0.6,0,0,0.98,0,0.18,0.06,0,0,0,0.14,0.59,0.53,0,0,0,0,0,0,0,0,0.01,0.74,0.69,0,0,0.2,1.72,0,0,0.02,0,0.68,0.02,0,0,0,0.02,0,0,0.34,0.23,0.03,0,0,0,1.25,0.06,0,0.37,0,0.01,0.1,0,0.28,0,0,0.04,0.69,0.01,0,0.04,0
"Site_46",0.05,0.55,0.01,0,0,0,0,0,0,0,0.03,0,0,0,0,0.36,0.3,0,0,0.02,2.47,0.03,0,0,0,0,0.08,0.62,0,0,0.64,0,0.06,0.25,0,0.24,0,0.11,0.29,0.52,0,0,0,0,0,0,0,0,0.13,0.63,1.02,0,0,0.12,2.12,0,0,0,0,0.47,0.21,0,0,0,0.14,0,0,0.12,0.22,0.05,0,0,0,1.25,0.23,0,0.56,0,0,0.04,0,0.33,0.01,0,0,1.16,0,0,0,0
"Site_47",0,0,0,0,0.94,0,0.03,0,0.21,0,0.06,0.94,0.03,0,0,0.08,0,0.05,0.16,0.04,0,0.56,0.65,0.11,0.45,0.01,0,0,0.04,0,0,0,0.02,0,0.86,0,0,0,0.12,0.02,0,0.02,2.13,0.33,0,0,0.08,0.07,0,0,0,0,0.25,0.72,0,0,0,0,0,0,0,0,0.08,0,0.01,0.47,0,0.06,1.02,0,0.16,0.04,0.21,0,0,0,0,0.02,0.19,0,0.02,0.03,0.02,0,0.2,0,0.4,0,0,0.01
